etape,secondes
"1a. marchés BTC 5m/15m (cache), issue officielle, priceToBeat/finalPrice, σ TimesFM",1.26
1b. Binance 1 s (cache pm_maker) et 1 m (cache),1.16
1c. trades preneurs (cache wallets/trades),15.11
2a. entrées de la formule (Binance 1 s) et σ,0.81
"2b. alignement Binance / Chainlink (priceToBeat, finalPrice)",0.02
"2c. choix de la demi-vie EWMA (1re moitié, log-loss)",0.15
"2d. probabilités de la formule (3 σ bruts, σ × k, variante corrigée)",2.29
2e. prix du marché à t et exécutions à t + δ (trades preneurs),2.69
3a. calibration et scores par instant / phase / durée,14.06
3b. empilement et information au-delà du marché,1.8
3b'. écart formule − marché à information égale (formule vieillie comme le prix du marché),1.01
3c. P&L preneur selon la latence δ,3.63
3d. exemple chiffré à S−10 s,0.01
"4a. marchés du collecteur (carnet reconstruit, issue)",87.56
"4b. Binance 1 s (data-api, cache pm_formula) et bougies 1 m",3.2
"4c. formule, carnet à t + δ, exécutions (10 et 100 parts)",4.37
4d. scores formule contre milieu du carnet ; P&L par δ,0.09
"4e. délai de réaction du carnet (trades agrégés Binance, ms)",25.34
"4g. P&L d'un preneur qui suit les sauts de la formule, selon la latence (carnet réel)",16.02
4h. horloges : réception locale − horodatage serveur Polymarket,1.34
4f. retard bloc − appariement (data-api contre WebSocket),18.84
total calcul,202.6
